id,order,group,location,patchType,plant,teleport,directions,paymentItem,paymentQty,growthMinutes,growthLabel,xp,inventoryItem,inventoryType,isPof,note
prif-crystal,12,Special Tree,Prifddinas — Tower of Voices,Crystal-tree patch,Harvest crystal blossom,Prifddinas lodestone,Run to the southeast side of the Tower of Voices.,None,0,1440,Daily,15000,Crystal acorn,optional,false,Do not replace the tree during normal daily runs. A crystal acorn is only needed when first establishing the patch.
havenhythe-regular,13,Regular Tree,Havenhythe — Dalia's Tree Nursery,Magic-tree patch,Magic sapling,Wendlewick Teleport → Marigold Farm,"Use the right-click farm destination, then enter Dalia's nursery.",Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,Complete all three Havenhythe nursery patches before leaving.
havenhythe-fruit,14,Fruit Tree,Havenhythe — Dalia's Tree Nursery,Carambola fruit-tree patch,Carambola sapling,Stay at Dalia's Tree Nursery,Move to the fruit-tree patch in the nursery.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
havenhythe-calquat,15,Calquat,Havenhythe — Dalia's Tree Nursery,Calquat-tree patch,Calquat sapling,Stay at Dalia's Tree Nursery,Move to the calquat patch before leaving the nursery.,Noted poison ivy berries,6,1280,21h 20m,12516.6,Calquat sapling,individual,false,
lumbridge-regular,16,Regular Tree,Lumbridge,Magic-tree patch,Magic sapling,Lumbridge Teleport or lodestone,Run toward the regular-tree patch near the general-store side of town.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
varrock-regular,17,Regular Tree,Varrock,Magic-tree patch,Magic sapling,Varrock Teleport,Enter the Varrock Castle courtyard and use the regular-tree patch.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
falador-regular,18,Regular Tree,Falador,Magic-tree patch,Magic sapling,Falador Teleport,Run into Falador Park to the regular-tree patch.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
taverley-regular,19,Regular Tree,Taverley,Magic-tree patch,Magic sapling,Taverley lodestone,Run north from the lodestone to the regular-tree patch.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
anachronia-cactus,20,Cactus,Anachronia,Golden-dragonfruit cactus patch,Golden dragonfruit seed,Anachronia Teleport → Totem of the Abyss,The cactus patch is close to the active Totem of the Abyss location.,Noted guarana fruit,1,560,9h 20m,28480,Golden dragonfruit seed,stack,false,
menaphos-cactus,21,Cactus,Menaphos — Imperial District,Golden-dragonfruit cactus patch,Golden dragonfruit seed,Menaphos Imperial district teleport,Run northwest toward Zahra and the constructed cactus patch.,Noted guarana fruit,1,560,9h 20m,28480,Golden dragonfruit seed,stack,false,
hets-oasis-cactus,22,Cactus,Het's Oasis,Golden-dragonfruit cactus patch,Golden dragonfruit seed,Ring of duelling → Het's Oasis,Run north toward the Archaeology table; the cactus patch is nearby.,Noted guarana fruit,1,560,9h 20m,28480,Golden dragonfruit seed,stack,false,
alkharid-cactus,23,Cactus,Al Kharid,Golden-dragonfruit cactus patch,Golden dragonfruit seed,Al Kharid lodestone,Run northeast/east from the lodestone to the cactus patch.,Noted guarana fruit,1,560,9h 20m,28480,Golden dragonfruit seed,stack,false,
tai-bwo-calquat,24,Calquat,Tai Bwo Wannai,Calquat-tree patch,Calquat sapling,Tai Bwo Wannai teleport scroll,Run north to the calquat-tree patch.,Noted poison ivy berries,6,1280,21h 20m,12516.6,Calquat sapling,individual,false,
